No,Message,Emotion,Feeling,,
2," #2:  蓮花 &はすか ed ""  ninjaryugo: ＃コナモンの日 だそうで、コナモンさんこと雑渡昆奈門さんのコスプレアクションを再喝＃忍たま ＃落乱https://t.co/Wn24WLfRML""",happy moments,happy,  ninjaryugo: ＃コナモンの日 だそうで、コナモンさんこと雑渡昆奈門さんのコスプレアクションを再喝＃忍たま ＃落乱https://t.co/Wn24WLfRML,happy moments
3," #3:  Ris ♡ ed ""Happy bihday to one smokin hot mama 🥵! I love you so much lil. You’re an amazing friend and although we met just this year it feels like I’ve known you forever and I really wish I did. You have been there for me through all my difficult moments this year and I appreciate that,""",happy moments,happy,"Happy bihday to one smokin hot mama 🥵! I love you so much lil. You’re an amazing friend and although we met just this year it feels like I’ve known you forever and I really wish I did. You have been there for me through all my difficult moments this year and I appreciate that,",happy moments
4," #4:  월월 [씍쯴사랑로봇] jwinnie is the best, cheer up jwinnie ed ""Omg I left for 2 min and 50-100 msgs ajdjsjs I cant save em all but I'm so happy 😆😆🥰 moments like these will be ones I treasure for a long time idk why but it makes me so happy 😭😭😭""",happy moments,happy,Omg I left for 2 min and 50-100 msgs ajdjsjs I cant save em all but I'm so happy 😆😆🥰 moments like these will be ones I treasure for a long time idk why but it makes me so happy 😭😭😭,happy moments
5," #5:  Madhurima wth u vc♥ ed ""Good morning dear❤  VikramChatterje Wishing you a day filled with sunshine,  happiness,  love n pleasant moments!Have lovely day ❤Keep shining Keep smiling always Stay happy 🙂🙂Take care....Love you ❤ https://t.co/8T1OQ9hOSK""",happy moments,happy,"Good morning dear❤  VikramChatterje Wishing you a day filled with sunshine,  happiness,  love n pleasant moments!Have lovely day ❤Keep shining Keep smiling always Stay happy 🙂🙂Take care....Love you ❤ https://t.co/8T1OQ9hOSK",happy moments
6," #6:  Jeinalís Ramos ed ""Happy moments 🙏🏽 https://t.co/pdOSc2YnUU""",happy moments,happy,Happy moments 🙏🏽 https://t.co/pdOSc2YnUU,happy moments
7," #7:  Eric Rogers ed "" CaitlinUnruh The movie made me happy in several ways, but i think when you rely on stuff that is purely coincidence to solve story issues, especially BIG moments that the entire film depends on, that’s problematic.""",happy moments,happy," CaitlinUnruh The movie made me happy in several ways, but i think when you rely on stuff that is purely coincidence to solve story issues, especially BIG moments that the entire film depends on, that’s problematic.",happy moments
8," #8:  Yanny Sandal ed ""I don’t give two shits about this Met Gala and just want it off my Twitter ‘moments’ page. I’ve seen enough Disney movies—I’m over these costumes AND I could have lived a long, happy life never seeing Harry Styles in a weird night gown ensemble.  So whatever CAMP is, let’s not""",happy moments,happy,"I don’t give two shits about this Met Gala and just want it off my Twitter ‘moments’ page. I’ve seen enough Disney movies—I’m over these costumes AND I could have lived a long, happy life never seeing Harry Styles in a weird night gown ensemble.  So whatever CAMP is, let’s not",happy moments
9," #9:  daynada ed ""my beautiful barbie bride and i while i fixed her dress moments before she walked down the aisle. i’m so happy this moment was caught on film 👰🏼👰🏼 https://t.co/2EfH1A2Tk4""",happy moments,happy,my beautiful barbie bride and i while i fixed her dress moments before she walked down the aisle. i’m so happy this moment was caught on film 👰🏼👰🏼 https://t.co/2EfH1A2Tk4,happy moments
10," #10:  ß🌪 ed ""Someone Great has been one of the best chick flicks, it had the romance but it hit us with the reality. No matter how great it all is, sometimes shit goes south and you have to be okay with it and move on and be happy for the happy moments y’all shared. Just a beautiful movie😭""",happy moments,happy,"Someone Great has been one of the best chick flicks, it had the romance but it hit us with the reality. No matter how great it all is, sometimes shit goes south and you have to be okay with it and move on and be happy for the happy moments y’all shared. Just a beautiful movie😭",happy moments
11," #11:  [17's Maga] 💎 #JONASBROTHERS ed ""  pledis_17jp: ⚡️ ""SEVENTEEN JAPAN 1ST SINGLE「Happy Ending」5/29発売""モーメントを作成しました！https://t.co/4eLksZhlwN""",happy moments,happy,  pledis_17jp: ⚡️ ,happy moments
12," #12:  Mj ed ""  AshTanDefenders: AshTan Moments are the best and makes us happy! Love you two!#PBB8BlackCircle | AshTan https://t.co/uckxrN4wf6""",happy moments,happy,  AshTanDefenders: AshTan Moments are the best and makes us happy! Love you two!#PBB8BlackCircle | AshTan https://t.co/uckxrN4wf6,happy moments
13," #13:  Frances Kaye Alvarez ed ""  AshTanDefenders: AshTan Moments are the best and makes us happy! Love you two!#PBB8BlackCircle | AshTan https://t.co/uckxrN4wf6""",happy moments,happy,  AshTanDefenders: AshTan Moments are the best and makes us happy! Love you two!#PBB8BlackCircle | AshTan https://t.co/uckxrN4wf6,happy moments
14," #14:  Moonchild Kat’🌔 with luv | 4000%💜 ed ""My le petit prince joonie❤️Thanks  HoneyJoonie94 님 for always capturing the beautiful moments of joon, can always feel your deep love towards joon!!❤️ Always feel warm and happy to see your posts, you’re my favourite fan site!! Suppo you always❤️ :))) 수고했어요❤️ https://t.co/lo7CJ5rgya""",happy moments,happy,"My le petit prince joonie❤️Thanks  HoneyJoonie94 님 for always capturing the beautiful moments of joon, can always feel your deep love towards joon!!❤️ Always feel warm and happy to see your posts, you’re my favourite fan site!! Suppo you always❤️ :))) 수고했어요❤️ https://t.co/lo7CJ5rgya",happy moments
15," #15:  Jaweriaabalochh ed "" BTS_twt 🤩 we are too happy hobi😍 just enjoy there and make good memorable moments.. have fun🤗🤗""",happy moments,happy, BTS_twt 🤩 we are too happy hobi😍 just enjoy there and make good memorable moments.. have fun🤗🤗,happy moments
16," #16:  きっど ed ""  JackUTS: Happy Bihday Kumiko!久美子誕生日おIn honor, celebrate her best moments 👇👇 #黄前久美子生誕祭 https://t.co/YY7Yjq6v7p""",happy moments,happy,"  JackUTS: Happy Bihday Kumiko!久美子誕生日おIn honor, celebrate her best moments 👇👇 #黄前久美子生誕祭 https://t.co/YY7Yjq6v7p",happy moments
17," #17:  A. 🌻 ed ""I just want to be happy. For the longest I’ve felt lonely and went through some tough depressing moments. I think it’s time I did something that would make me happy""",happy moments,happy,I just want to be happy. For the longest I’ve felt lonely and went through some tough depressing moments. I think it’s time I did something that would make me happy,happy moments
18," #18:  Vanessa Morales ed ""  AshTanDefenders: AshTan Moments are the best and makes us happy! Love you tw#PBB8BlackCircle | AshTan https://t.co/uckxrN4wf6""",happy moments,happy,  AshTanDefenders: AshTan Moments are the best and makes us happy! Love you tw#PBB8BlackCircle | AshTan https://t.co/uckxrN4wf6,happy moments
19," #19:  ましゅ。 ed ""  JackUTS: Happy Bihday Kumiko!久美子誕生日おめでとう！In honor, celebrate her best moments 👇👇 #黄前久美子生誕祭 https://t.co/YY7Yjq6v7p""",happy moments,happy,"  JackUTS: Happy Bihday Kumiko!久美子誕生日おめでとう！In honor, celebrate her best moments 👇👇 #黄前久美子生誕祭 https://t.co/YY7Yjq6v7p",happy moments
20," #20:  RANIA🌍💙🌱 ed ""  lastvibes: “Somewhere in the middle of our happy moments, we sigh a little, in the memory of someone we’re missing.”""",happy moments,happy,"  lastvibes: “Somewhere in the middle of our happy moments, we sigh a little, in the memory of someone we’re missing.”",happy moments
21," #21:  Simone Malcolm ed ""  AlyseZita: I think it’s so impoant to remember  that we only see ourselves as reflections and in photos,  not during the moments that…""",happy moments,happy,"  AlyseZita: I think it’s so impoant to remember  that we only see ourselves as reflections and in photos,  not during the moments that…",happy moments
22," #22:  बैकबेंचरThalyariमाईलोर्ड ed "" roya_musawi  ICRC_af Too good, he creates a good environment and some happy moments in hospital where people tend to be more intense or serious.  #KidsTheBestMedicine""",happy moments,happy," roya_musawi  ICRC_af Too good, he creates a good environment and some happy moments in hospital where people tend to be more intense or serious.  #KidsTheBestMedicine",happy moments
