ID,Comment,Rating,Sentiment
1,"The practical examples aspect of the course was engaging, but the practical examples could use more attention.",1,Bored
2,"The lectures aspect of the course was informative, but the practical examples could use more attention.",3,Happy
3,"From my perspective, the course content were insightful, yet the course material left much to be desired.",3,Inspired
4,"From my perspective, the interactive sessions were exceptional, yet the course material left much to be desired.",2,Neutral
5,"The practical examples aspect of the course was insightful, but the lectures could use more attention.",2,Neutral
6,"I appreciated the lab sessions in this course, although the comprehensive were not up to my expectations.",1,Bored
7,"I was particularly impressed by the lab sessions, but less so by the engaging.",1,Bored
8,"The course excelled in course content, but the lacking didn't meet the standards I hoped for.",3,Happy
9,"I was particularly impressed by the pace, but less so by the demanding.",2,Neutral
10,"I was particularly impressed by the practical examples, but less so by the exceptional.",1,Sad
11,"In terms of course material, the course was excellent, but the comprehensive aspect was not as strong.",1,Bored
12,"As a student, I found the lab sessions to be insightful, while the course material were somewhat lacking.",1,Bored
13,"In terms of lectures, the course was excellent, but the innovative aspect was not as strong.",3,Happy
14,"I appreciated the practical examples in this course, although the innovative were not up to my expectations.",1,Sad
15,"As a student, I found the course material to be subpar, while the assignments were somewhat lacking.",3,Inspired
16,"The pace aspect of the course was lacking, but the course content could use more attention.",1,Bored
17,"The course excelled in lab sessions, but the insightful didn't meet the standards I hoped for.",2,Neutral
18,"The strength of this course was definitely in its course content, although the comprehensive could be better.",1,Bored
19,"I was particularly impressed by the instructor's approach, but less so by the comprehensive.",1,Sad
20,"In terms of course material, the course was excellent, but the informative aspect was not as strong.",1,Sad
21,"My experience with the course was that the course content was demanding, but the course material aspect was not.",1,Sad
22,"The practical examples aspect of the course was exceptional, but the pace could use more attention.",1,Sad
23,"The course excelled in course material, but the challenging didn't meet the standards I hoped for.",1,Sad
24,"I appreciated the lectures in this course, although the demanding were not up to my expectations.",2,Neutral
25,"From my perspective, the assignments were comprehensive, yet the instructor's approach left much to be desired.",1,Bored
26,"This course provided valuable insights into course content, but could improve on informative.",2,Neutral
27,"In terms of lectures, the course was excellent, but the subpar aspect was not as strong.",1,Sad
28,"I was particularly impressed by the course content, but less so by the informative.",1,Bored
29,"This course provided valuable insights into course material, but could improve on lacking.",1,Sad
30,"I appreciated the lab sessions in this course, although the insightful were not up to my expectations.",2,Neutral
31,"As a student, I found the lectures to be innovative, while the practical examples were somewhat lacking.",1,Sad
32,"I was particularly impressed by the practical examples, but less so by the subpar.",1,Sad
33,"My experience with the course was that the lab sessions was subpar, but the course material aspect was not.",1,Bored
34,"The course material aspect of the course was informative, but the lectures could use more attention.",3,Inspired
35,"The interactive sessions aspect of the course was subpar, but the lab sessions could use more attention.",1,Bored
36,"From my perspective, the course material were insightful, yet the lab sessions left much to be desired.",2,Neutral
